"BB_prct_audio","BB_prct_left","BB_prct_right","BB_test_audio","BB_test_left","BB_test_right","NB_prct_audio","NB_prct_left","NB_prct_right","NB_test_audio","NB_test_left","NB_test_right","average_response_time","congruency","correct","correct_keyboard_response_letter","correct_radboudbox_response_BB_practice","correct_response","count_BB_practice_sequence","count_BB_test_sequence","count_NB_practice_sequence","count_NB_test_sequence","count_radboudbox_init","count_radboudbox_response_BB_practice","count_radboudbox_response_BB_test","count_radboudbox_response_NB_practice","count_radboudbox_response_NB_test","count_washout_sequence","datetime","distractor_position","gaze_cue","response","response_keyboard_response_letter","response_radboudbox_response_BB_practice","response_radboudbox_response_BB_test","response_radboudbox_response_NB_practice","response_radboudbox_response_NB_test","response_time_keyboard_response_letter","response_time_radboudbox_response_BB_practice","response_time_radboudbox_response_BB_test","response_time_radboudbox_response_NB_practice","response_time_radboudbox_response_NB_test","subject_nr","subject_parity","target_letter","target_position","time_radboudbox_init","time_radboudbox_response_BB_practice","time_radboudbox_response_BB_test","time_radboudbox_response_NB_practice","time_radboudbox_response_NB_test","time_response_radboudbox_response_BB_practice","title","total_correct"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","0","NA","NA","NA","0","0","NA","NA","NA","NA","Mon May  6 14:59:06 2024","NA","NA","A","NA","A","NA","NA","NA","NA","853","NA","NA","NA","1","odd","NA","NA","12113","104120","NA","NA","NA","104973","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","1","NA","NA","NA","0","1","NA","NA","NA","NA","Mon May  6 14:59:06 2024","NA","NA","E","NA","E","NA","NA","NA","NA","58","NA","NA","NA","1","odd","NA","NA","12113","107092","NA","NA","NA","107150","BB-NB","0"
"pop-top_step1.wav","pop","top","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","2","NA","NA","NA","0","2","NA","NA","NA","NA","Mon May  6 14:59:06 2024","NA","NA","A","NA","A","NA","NA","NA","NA","49","NA","NA","NA","1","odd","NA","NA","12113","109006","NA","NA","NA","109055","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","NA","NA","NA","0","3","NA","NA","NA","NA","Mon May  6 14:59:06 2024","NA","NA","A","NA","A","NA","NA","NA","NA","188","NA","NA","NA","1","odd","NA","NA","12113","110944","NA","NA","NA","111132","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","dier-duur_Step1stereo.wav","dier","duur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","0","NA","NA","0","3","0","NA","NA","NA","Mon May  6 14:59:06 2024","NA","NA","A","NA","A","A","NA","NA","NA","188","232","NA","NA","1","odd","NA","NA","12113","110944","118264","NA","NA","111132","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","pip-pep_continuumStep_7_stereo.wav","pip","pep","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","1","NA","NA","0","3","1","NA","NA","NA","Mon May  6 14:59:06 2024","NA","NA","E","NA","A","E","NA","NA","NA","188","3594","NA","NA","1","odd","NA","NA","12113","110944","120372","NA","NA","111132","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","tuin-duin_F0_6_VOT_6_stereo.wav","tuin","duin","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","2","NA","NA","0","3","2","NA","NA","NA","Mon May  6 14:59:06 2024","NA","NA","A","NA","A","A","NA","NA","NA","188","517","NA","NA","1","odd","NA","NA","12113","110944","125778","NA","NA","111132","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","sik-sec1.wav","sik","sec","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","3","NA","NA","0","3","3","NA","NA","NA","Mon May  6 14:59:06 2024","NA","NA","A","NA","A","A","NA","NA","NA","188","521","NA","NA","1","odd","NA","NA","12113","110944","128265","NA","NA","111132","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","pier-puur3_stereo.wav","pier","puur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","4","NA","NA","0","3","4","NA","NA","NA","Mon May  6 14:59:06 2024","NA","NA","A","NA","A","A","NA","NA","NA","188","319","NA","NA","1","odd","NA","NA","12113","110944","130523","NA","NA","111132","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","bier-buur_Step1stereo.wav","bier","buur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","5","NA","NA","0","3","5","NA","NA","NA","Mon May  6 14:59:06 2024","NA","NA","A","NA","A","A","NA","NA","NA","188","293","NA","NA","1","odd","NA","NA","12113","110944","132604","NA","NA","111132","BB-NB","0"
