"BB_prct_audio","BB_prct_left","BB_prct_right","BB_test_audio","BB_test_left","BB_test_right","NB_prct_audio","NB_prct_left","NB_prct_right","NB_test_audio","NB_test_left","NB_test_right","average_response_time","congruency","correct","correct_keyboard_response_letter","correct_radboudbox_response_BB_practice","correct_response","count_BB_practice_sequence","count_BB_test_sequence","count_NB_practice_sequence","count_NB_test_sequence","count_radboudbox_init","count_radboudbox_response_BB_practice","count_radboudbox_response_BB_test","count_radboudbox_response_NB_practice","count_radboudbox_response_NB_test","count_washout_sequence","datetime","distractor_position","gaze_cue","response","response_keyboard_response_letter","response_radboudbox_response_BB_practice","response_radboudbox_response_BB_test","response_radboudbox_response_NB_practice","response_radboudbox_response_NB_test","response_time_keyboard_response_letter","response_time_radboudbox_response_BB_practice","response_time_radboudbox_response_BB_test","response_time_radboudbox_response_NB_practice","response_time_radboudbox_response_NB_test","subject_nr","subject_parity","target_letter","target_position","time_radboudbox_init","time_radboudbox_response_BB_practice","time_radboudbox_response_BB_test","time_radboudbox_response_NB_practice","time_radboudbox_response_NB_test","time_response_radboudbox_response_BB_practice","title","total_correct"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","0","NA","NA","NA","0","0","NA","NA","NA","NA","Wed May  8 11:10:44 2024","NA","NA","A","NA","A","NA","NA","NA","NA","1361","NA","NA","NA","2","even","NA","NA","11509","81646","NA","NA","NA","83007","BB-NB","0"
"pop-top_step1.wav","pop","top","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","1","NA","NA","NA","0","1","NA","NA","NA","NA","Wed May  8 11:10:44 2024","NA","NA","A","NA","A","NA","NA","NA","NA","478","NA","NA","NA","2","even","NA","NA","11509","84967","NA","NA","NA","85445","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","2","NA","NA","NA","0","2","NA","NA","NA","NA","Wed May  8 11:10:44 2024","NA","NA","E","NA","E","NA","NA","NA","NA","523","NA","NA","NA","2","even","NA","NA","11509","87450","NA","NA","NA","87973","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","NA","NA","NA","0","3","NA","NA","NA","NA","Wed May  8 11:10:44 2024","NA","NA","A","NA","A","NA","NA","NA","NA","746","NA","NA","NA","2","even","NA","NA","11509","89853","NA","NA","NA","90599","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","dak-tak_F0_7_VOT_7_stereo.wav","dak","tak","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","0","NA","NA","0","3","0","NA","NA","NA","Wed May  8 11:10:44 2024","NA","NA","E","NA","A","E","NA","NA","NA","746","578","NA","NA","2","even","NA","NA","11509","89853","102355","NA","NA","90599","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","dier-duur_Step5stereo.wav","dier","duur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","1","NA","NA","0","3","1","NA","NA","NA","Wed May  8 11:10:44 2024","NA","NA","E","NA","A","E","NA","NA","NA","746","1337","NA","NA","2","even","NA","NA","11509","89853","104713","NA","NA","90599","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","kauw-tauw_step5.wav","kauw","touw","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","2","NA","NA","0","3","2","NA","NA","NA","Wed May  8 11:10:44 2024","NA","NA","E","NA","A","E","NA","NA","NA","746","649","NA","NA","2","even","NA","NA","11509","89853","107911","NA","NA","90599","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","doos-toos_F0_6_VOT_6_stereo.wav","doos","toos","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","3","NA","NA","0","3","3","NA","NA","NA","Wed May  8 11:10:44 2024","NA","NA","E","NA","A","E","NA","NA","NA","746","349","NA","NA","2","even","NA","NA","11509","89853","110598","NA","NA","90599","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","doos-toos_F0_2_VOT_2_stereo.wav","doos","toos","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","4","NA","NA","0","3","4","NA","NA","NA","Wed May  8 11:10:44 2024","NA","NA","A","NA","A","A","NA","NA","NA","746","479","NA","NA","2","even","NA","NA","11509","89853","112935","NA","NA","90599","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","pop-top_step1.wav","pop","top","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","5","NA","NA","0","3","5","NA","NA","NA","Wed May  8 11:10:44 2024","NA","NA","A","NA","A","A","NA","NA","NA","746","428","NA","NA","2","even","NA","NA","11509","89853","115279","NA","NA","90599","BB-NB","0"
