"BB_prct_audio","BB_prct_left","BB_prct_right","BB_test_audio","BB_test_left","BB_test_right","NB_prct_audio","NB_prct_left","NB_prct_right","NB_test_audio","NB_test_left","NB_test_right","average_response_time","congruency","correct","correct_keyboard_response_letter","correct_radboudbox_response_BB_practice","correct_response","count_BB_practice_sequence","count_BB_test_sequence","count_NB_practice_sequence","count_NB_test_sequence","count_radboudbox_init","count_radboudbox_response_BB_practice","count_radboudbox_response_BB_test","count_radboudbox_response_NB_practice","count_radboudbox_response_NB_test","count_washout_sequence","datetime","distractor_position","gaze_cue","response","response_keyboard_response_letter","response_radboudbox_response_BB_practice","response_radboudbox_response_BB_test","response_radboudbox_response_NB_practice","response_radboudbox_response_NB_test","response_time_keyboard_response_letter","response_time_radboudbox_response_BB_practice","response_time_radboudbox_response_BB_test","response_time_radboudbox_response_NB_practice","response_time_radboudbox_response_NB_test","subject_nr","subject_parity","target_letter","target_position","time_radboudbox_init","time_radboudbox_response_BB_practice","time_radboudbox_response_BB_test","time_radboudbox_response_NB_practice","time_radboudbox_response_NB_test","time_response_radboudbox_response_BB_practice","title","total_correct"
"pop-top_step1.wav","pop","top","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","0","NA","NA","NA","0","0","NA","NA","NA","NA","Wed May 22 16:30:58 2024","NA","NA","A","NA","A","NA","NA","NA","NA","1044","NA","NA","NA","13","odd","NA","NA","12303","59348","NA","NA","NA","60392","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","1","NA","NA","NA","0","1","NA","NA","NA","NA","Wed May 22 16:30:58 2024","NA","NA","A","NA","A","NA","NA","NA","NA","444","NA","NA","NA","13","odd","NA","NA","12303","62282","NA","NA","NA","62726","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","2","NA","NA","NA","0","2","NA","NA","NA","NA","Wed May 22 16:30:58 2024","NA","NA","A","NA","A","NA","NA","NA","NA","278","NA","NA","NA","13","odd","NA","NA","12303","64599","NA","NA","NA","64877","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","NA","NA","NA","0","3","NA","NA","NA","NA","Wed May 22 16:30:58 2024","NA","NA","E","NA","E","NA","NA","NA","NA","3718","NA","NA","NA","13","odd","NA","NA","12303","66894","NA","NA","NA","70612","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","dak-tak_F0_5_VOT_5_stereo.wav","dak","tak","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","0","NA","NA","0","3","0","NA","NA","NA","Wed May 22 16:30:58 2024","NA","NA","E","NA","E","E","NA","NA","NA","3718","714","NA","NA","13","odd","NA","NA","12303","66894","79153","NA","NA","70612","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","bier-buur_Step6stereo.wav","bier","buur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","1","NA","NA","0","3","1","NA","NA","NA","Wed May 22 16:30:58 2024","NA","NA","A","NA","E","A","NA","NA","NA","3718","429","NA","NA","13","odd","NA","NA","12303","66894","81609","NA","NA","70612","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","pip-pep_continuumStep_1_stereo.wav","pip","pep","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","2","NA","NA","0","3","2","NA","NA","NA","Wed May 22 16:30:58 2024","NA","NA","A","NA","E","A","NA","NA","NA","3718","143","NA","NA","13","odd","NA","NA","12303","66894","83908","NA","NA","70612","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","doos-toos_F0_6_VOT_6_stereo.wav","doos","toos","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","3","NA","NA","0","3","3","NA","NA","NA","Wed May 22 16:30:58 2024","NA","NA","E","NA","E","E","NA","NA","NA","3718","176","NA","NA","13","odd","NA","NA","12303","66894","86068","NA","NA","70612","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","dak-tak_F0_6_VOT_6_stereo.wav","dak","tak","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","4","NA","NA","0","3","4","NA","NA","NA","Wed May 22 16:30:58 2024","NA","NA","E","NA","E","E","NA","NA","NA","3718","339","NA","NA","13","odd","NA","NA","12303","66894","88069","NA","NA","70612","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","tap-kap_step4.wav","tap","kap","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","5","NA","NA","0","3","5","NA","NA","NA","Wed May 22 16:30:58 2024","NA","NA","A","NA","E","A","NA","NA","NA","3718","277","NA","NA","13","odd","NA","NA","12303","66894","90245","NA","NA","70612","BB-NB","0"
