"BB_prct_audio","BB_prct_left","BB_prct_right","BB_test_audio","BB_test_left","BB_test_right","NB_prct_audio","NB_prct_left","NB_prct_right","NB_test_audio","NB_test_left","NB_test_right","average_response_time","congruency","correct","correct_keyboard_response_letter","correct_radboudbox_response_NB_practice","correct_response","count_BB_practice_sequence","count_BB_test_sequence","count_NB_practice_sequence","count_NB_test_sequence","count_radboudbox_init","count_radboudbox_response_BB_practice","count_radboudbox_response_BB_test","count_radboudbox_response_NB_practice","count_radboudbox_response_NB_test","count_washout_sequence","datetime","distractor_position","gaze_cue","live_row_NB_practice_loop","response","response_keyboard_response_letter","response_radboudbox_response_BB_practice","response_radboudbox_response_BB_test","response_radboudbox_response_NB_practice","response_radboudbox_response_NB_test","response_time_keyboard_response_letter","response_time_radboudbox_response_BB_practice","response_time_radboudbox_response_BB_test","response_time_radboudbox_response_NB_practice","response_time_radboudbox_response_NB_test","subject_nr","subject_parity","target_letter","target_position","time_radboudbox_init","time_radboudbox_response_BB_practice","time_radboudbox_response_BB_test","time_radboudbox_response_NB_practice","time_radboudbox_response_NB_test","time_response_radboudbox_response_NB_practice","title","total_correct"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","NA","NA","NA","8199","NA","undefined","NA","undefined","NA","NA","NA","0","NA","0","NA","NA","0","NA","NA","Fri May 24 15:58:42 2024","NA","NA","0","E","NA","NA","NA","E","NA","NA","NA","NA","811","NA","16","even","NA","NA","12134","NA","NA","21963","NA","22774","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","NA","NA","NA","8199","NA","undefined","NA","undefined","NA","NA","NA","1","NA","0","NA","NA","1","NA","NA","Fri May 24 15:58:42 2024","NA","NA","1","A","NA","NA","NA","A","NA","NA","NA","NA","739","NA","16","even","NA","NA","12134","NA","NA","24651","NA","25390","NB-BB","0"
"NA","NA","NA","NA","NA","NA","kauw-tauw_step5.wav","touw","kauw","NA","NA","NA","8199","NA","undefined","NA","undefined","NA","NA","NA","2","NA","0","NA","NA","2","NA","NA","Fri May 24 15:58:42 2024","NA","NA","2","A","NA","NA","NA","A","NA","NA","NA","NA","636","NA","16","even","NA","NA","12134","NA","NA","27272","NA","27908","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","NA","NA","NA","8199","NA","undefined","NA","undefined","NA","NA","NA","3","NA","0","NA","NA","3","NA","NA","Fri May 24 15:58:42 2024","NA","NA","3","A","NA","NA","NA","A","NA","NA","NA","NA","390","NA","16","even","NA","NA","12134","NA","NA","29774","NA","30164","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","tap-kap_step4.wav","tap","kap","8199","NA","undefined","NA","undefined","NA","NA","NA","3","0","0","NA","NA","3","0","NA","Fri May 24 15:58:42 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","390","475","16","even","NA","NA","12134","NA","NA","29774","38214","30164","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","tuin-duin_F0_5_VOT_5_stereo.wav","tuin","duin","8199","NA","undefined","NA","undefined","NA","NA","NA","3","1","0","NA","NA","3","1","NA","Fri May 24 15:58:42 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","390","453","16","even","NA","NA","12134","NA","NA","29774","40492","30164","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","kauw-tauw_step5.wav","kauw","touw","8199","NA","undefined","NA","undefined","NA","NA","NA","3","2","0","NA","NA","3","2","NA","Fri May 24 15:58:42 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","390","394","16","even","NA","NA","12134","NA","NA","29774","42824","30164","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","8199","NA","undefined","NA","undefined","NA","NA","NA","3","3","0","NA","NA","3","3","NA","Fri May 24 15:58:42 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","390","142","16","even","NA","NA","12134","NA","NA","29774","45246","30164","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","tuin-duin_F0_2_VOT_2_stereo.wav","tuin","duin","8199","NA","undefined","NA","undefined","NA","NA","NA","3","4","0","NA","NA","3","4","NA","Fri May 24 15:58:42 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","390","298","16","even","NA","NA","12134","NA","NA","29774","47189","30164","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","pip-pep_continuumStep_5_stereo.wav","pip","pep","8199","NA","undefined","NA","undefined","NA","NA","NA","3","5","0","NA","NA","3","5","NA","Fri May 24 15:58:42 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","390","261","16","even","NA","NA","12134","NA","NA","29774","49355","30164","NB-BB","0"
