"BB_prct_audio","BB_prct_left","BB_prct_right","BB_test_audio","BB_test_left","BB_test_right","NB_prct_audio","NB_prct_left","NB_prct_right","NB_test_audio","NB_test_left","NB_test_right","average_response_time","congruency","correct","correct_keyboard_response_letter","correct_radboudbox_response_NB_practice","correct_response","count_BB_practice_sequence","count_BB_test_sequence","count_NB_practice_sequence","count_NB_test_sequence","count_radboudbox_init","count_radboudbox_response_BB_practice","count_radboudbox_response_BB_test","count_radboudbox_response_NB_practice","count_radboudbox_response_NB_test","count_washout_sequence","datetime","distractor_position","gaze_cue","live_row_NB_practice_loop","response","response_keyboard_response_letter","response_radboudbox_response_BB_practice","response_radboudbox_response_BB_test","response_radboudbox_response_NB_practice","response_radboudbox_response_NB_test","response_time_keyboard_response_letter","response_time_radboudbox_response_BB_practice","response_time_radboudbox_response_BB_test","response_time_radboudbox_response_NB_practice","response_time_radboudbox_response_NB_test","subject_nr","subject_parity","target_letter","target_position","time_radboudbox_init","time_radboudbox_response_BB_practice","time_radboudbox_response_BB_test","time_radboudbox_response_NB_practice","time_radboudbox_response_NB_test","time_response_radboudbox_response_NB_practice","title","total_correct"
"NA","NA","NA","NA","NA","NA","kauw-tauw_step5.wav","touw","kauw","NA","NA","NA","9129","NA","undefined","NA","undefined","NA","NA","NA","0","NA","0","NA","NA","0","NA","NA","Fri May 24 12:55:21 2024","NA","NA","0","A","NA","NA","NA","A","NA","NA","NA","NA","891","NA","15","odd","NA","NA","11416","NA","NA","21996","NA","22887","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","NA","NA","NA","9129","NA","undefined","NA","undefined","NA","NA","NA","1","NA","0","NA","NA","1","NA","NA","Fri May 24 12:55:21 2024","NA","NA","1","A","NA","NA","NA","A","NA","NA","NA","NA","512","NA","15","odd","NA","NA","11416","NA","NA","24805","NA","25317","NB-BB","0"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","NA","NA","NA","9129","NA","undefined","NA","undefined","NA","NA","NA","2","NA","0","NA","NA","2","NA","NA","Fri May 24 12:55:21 2024","NA","NA","2","E","NA","NA","NA","E","NA","NA","NA","NA","76","NA","15","odd","NA","NA","11416","NA","NA","27321","NA","27397","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","NA","NA","NA","9129","NA","undefined","NA","undefined","NA","NA","NA","3","NA","0","NA","NA","3","NA","NA","Fri May 24 12:55:21 2024","NA","NA","3","A","NA","NA","NA","A","NA","NA","NA","NA","284","NA","15","odd","NA","NA","11416","NA","NA","29178","NA","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kik-kek_continuumStep_6_stereo.wav","kek","kik","9129","NA","undefined","NA","undefined","NA","NA","NA","3","0","0","NA","NA","3","0","NA","Fri May 24 12:55:21 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","284","661","15","odd","NA","NA","11416","NA","NA","29178","37660","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pier-puur5_stereo.wav","pier","puur","9129","NA","undefined","NA","undefined","NA","NA","NA","3","1","0","NA","NA","3","1","NA","Fri May 24 12:55:21 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","284","776","15","odd","NA","NA","11416","NA","NA","29178","40033","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kauw-tauw_step5.wav","kauw","touw","9129","NA","undefined","NA","undefined","NA","NA","NA","3","2","0","NA","NA","3","2","NA","Fri May 24 12:55:21 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","284","764","15","odd","NA","NA","11416","NA","NA","29178","42669","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","dak-tak_F0_1_VOT_1_stereo.wav","dak","tak","9129","NA","undefined","NA","undefined","NA","NA","NA","3","3","0","NA","NA","3","3","NA","Fri May 24 12:55:21 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","284","1650","15","odd","NA","NA","11416","NA","NA","29178","45229","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","dier-duur_Step2stereo.wav","dier","duur","9129","NA","undefined","NA","undefined","NA","NA","NA","3","4","0","NA","NA","3","4","NA","Fri May 24 12:55:21 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","284","247","15","odd","NA","NA","11416","NA","NA","29178","48666","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","tap-kap_Step1.wav","tap","kap","9129","NA","undefined","NA","undefined","NA","NA","NA","3","5","0","NA","NA","3","5","NA","Fri May 24 12:55:21 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","284","222","15","odd","NA","NA","11416","NA","NA","29178","50707","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","doos-toos_F0_1_VOT_1_stereo.wav","doos","toos","9129","NA","undefined","NA","undefined","NA","NA","NA","3","6","0","NA","NA","3","6","NA","Fri May 24 12:55:21 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","284","212","15","odd","NA","NA","11416","NA","NA","29178","52928","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","dak-tak_F0_4_VOT_4_stereo.wav","dak","tak","9129","NA","undefined","NA","undefined","NA","NA","NA","3","7","0","NA","NA","3","7","NA","Fri May 24 12:55:21 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","284","29","15","odd","NA","NA","11416","NA","NA","29178","54941","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","bier-buur_Step2stereo.wav","bier","buur","9129","NA","undefined","NA","undefined","NA","NA","NA","3","8","0","NA","NA","3","8","NA","Fri May 24 12:55:21 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","284","158","15","odd","NA","NA","11416","NA","NA","29178","56725","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","bier-buur_Step3stereo.wav","bier","buur","9129","NA","undefined","NA","undefined","NA","NA","NA","3","9","0","NA","NA","3","9","NA","Fri May 24 12:55:21 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","284","192","15","odd","NA","NA","11416","NA","NA","29178","58615","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","doos-toos_F0_5_VOT_5_stereo.wav","doos","toos","9129","NA","undefined","NA","undefined","NA","NA","NA","3","10","0","NA","NA","3","10","NA","Fri May 24 12:55:21 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","284","2562","15","odd","NA","NA","11416","NA","NA","29178","60829","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","bier-buur_Step7stereo.wav","bier","buur","9129","NA","undefined","NA","undefined","NA","NA","NA","3","11","0","NA","NA","3","11","NA","Fri May 24 12:55:21 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","284","550","15","odd","NA","NA","11416","NA","NA","29178","65136","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","bier-buur_Step1stereo.wav","bier","buur","9129","NA","undefined","NA","undefined","NA","NA","NA","3","12","0","NA","NA","3","12","NA","Fri May 24 12:55:21 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","284","113","15","odd","NA","NA","11416","NA","NA","29178","67412","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pip-pep_continuumStep_7_stereo.wav","pip","pep","9129","NA","undefined","NA","undefined","NA","NA","NA","3","13","0","NA","NA","3","13","NA","Fri May 24 12:55:21 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","284","77","15","odd","NA","NA","11416","NA","NA","29178","69378","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kauw-tauw_step6.wav","kauw","touw","9129","NA","undefined","NA","undefined","NA","NA","NA","3","14","0","NA","NA","3","14","NA","Fri May 24 12:55:21 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","284","1996","15","odd","NA","NA","11416","NA","NA","29178","71315","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","dak-tak_F0_5_VOT_5_stereo.wav","dak","tak","9129","NA","undefined","NA","undefined","NA","NA","NA","3","15","0","NA","NA","3","15","NA","Fri May 24 12:55:21 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","284","164","15","odd","NA","NA","11416","NA","NA","29178","75116","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","doos-toos_F0_4_VOT_4_stereo.wav","doos","toos","9129","NA","undefined","NA","undefined","NA","NA","NA","3","16","0","NA","NA","3","16","NA","Fri May 24 12:55:21 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","284","1748","15","odd","NA","NA","11416","NA","NA","29178","77270","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","sik-sec3.wav","sik","sec","9129","NA","undefined","NA","undefined","NA","NA","NA","3","17","0","NA","NA","3","17","NA","Fri May 24 12:55:21 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","284","739","15","odd","NA","NA","11416","NA","NA","29178","80991","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kik-kek_continuumStep_1_stereo.wav","kek","kik","9129","NA","undefined","NA","undefined","NA","NA","NA","3","18","0","NA","NA","3","18","NA","Fri May 24 12:55:21 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","284","247","15","odd","NA","NA","11416","NA","NA","29178","83471","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","tuin-duin_F0_2_VOT_2_stereo.wav","tuin","duin","9129","NA","undefined","NA","undefined","NA","NA","NA","3","19","0","NA","NA","3","19","NA","Fri May 24 12:55:21 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","284","327","15","odd","NA","NA","11416","NA","NA","29178","85525","29462","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pop-top_step4.wav","pop","top","9129","NA","undefined","NA","undefined","NA","NA","NA","3","20","0","NA","NA","3","20","NA","Fri May 24 12:55:21 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","284","711","15","odd","NA","NA","11416","NA","NA","29178","87689","29462","NB-BB","0"
