"BB_prct_audio","BB_prct_left","BB_prct_right","BB_test_audio","BB_test_left","BB_test_right","NB_prct_audio","NB_prct_left","NB_prct_right","NB_test_audio","NB_test_left","NB_test_right","average_response_time","congruency","correct","correct_keyboard_response_letter","correct_radboudbox_response_BB_practice","correct_response","count_BB_practice_sequence","count_BB_test_sequence","count_NB_practice_sequence","count_NB_test_sequence","count_radboudbox_init","count_radboudbox_response_BB_practice","count_radboudbox_response_BB_test","count_radboudbox_response_NB_practice","count_radboudbox_response_NB_test","count_washout_sequence","datetime","distractor_position","gaze_cue","response","response_keyboard_response_letter","response_radboudbox_response_BB_practice","response_radboudbox_response_BB_test","response_radboudbox_response_NB_practice","response_radboudbox_response_NB_test","response_time_keyboard_response_letter","response_time_radboudbox_response_BB_practice","response_time_radboudbox_response_BB_test","response_time_radboudbox_response_NB_practice","response_time_radboudbox_response_NB_test","subject_nr","subject_parity","target_letter","target_position","time_radboudbox_init","time_radboudbox_response_BB_practice","time_radboudbox_response_BB_test","time_radboudbox_response_NB_practice","time_radboudbox_response_NB_test","time_response_radboudbox_response_BB_practice","title","total_correct"
"kauw-tauw_step5.wav","touw","kauw","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","0","NA","NA","NA","0","0","NA","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","NA","NA","NA","NA","1015","NA","NA","NA","7","odd","NA","NA","11872","69543","NA","NA","NA","70558","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","1","NA","NA","NA","0","1","NA","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","E","NA","NA","NA","NA","627","NA","NA","NA","7","odd","NA","NA","11872","72669","NA","NA","NA","73296","BB-NB","0"
"pop-top_step1.wav","pop","top","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","2","NA","NA","NA","0","2","NA","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","NA","NA","NA","NA","674","NA","NA","NA","7","odd","NA","NA","11872","75150","NA","NA","NA","75824","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","NA","NA","NA","0","3","NA","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","NA","NA","NA","NA","421","NA","NA","NA","7","odd","NA","NA","11872","77615","NA","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","sik-sec3.wav","sik","sec","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","0","NA","NA","0","3","0","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","A","NA","NA","NA","421","555","NA","NA","7","odd","NA","NA","11872","77615","86114","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","tap-kap_Step1.wav","tap","kap","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","1","NA","NA","0","3","1","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","A","NA","NA","NA","421","512","NA","NA","7","odd","NA","NA","11872","77615","88478","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kauw-tauw_step2.wav","kauw","touw","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","2","NA","NA","0","3","2","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","A","NA","NA","NA","421","638","NA","NA","7","odd","NA","NA","11872","77615","90862","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kik-kek_continuumStep_1_stereo.wav","kek","kik","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","3","NA","NA","0","3","3","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","674","NA","NA","7","odd","NA","NA","11872","77615","93255","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","dier-duur_Step4stereo.wav","dier","duur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","4","NA","NA","0","3","4","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","A","NA","NA","NA","421","950","NA","NA","7","odd","NA","NA","11872","77615","95697","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kauw-tauw_step4.wav","kauw","touw","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","5","NA","NA","0","3","5","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","572","NA","NA","7","odd","NA","NA","11872","77615","98527","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","dak-tak_F0_5_VOT_5_stereo.wav","dak","tak","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","6","NA","NA","0","3","6","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","597","NA","NA","7","odd","NA","NA","11872","77615","100918","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kauw-tauw_step6.wav","kauw","touw","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","7","NA","NA","0","3","7","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","653","NA","NA","7","odd","NA","NA","11872","77615","103384","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pop-top_step3.wav","pop","top","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","8","NA","NA","0","3","8","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","614","NA","NA","7","odd","NA","NA","11872","77615","105887","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","tap-kap_step7.wav","tap","kap","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","9","NA","NA","0","3","9","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","455","NA","NA","7","odd","NA","NA","11872","77615","108309","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kauw-tauw_step3.wav","kauw","touw","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","10","NA","NA","0","3","10","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","542","NA","NA","7","odd","NA","NA","11872","77615","110638","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pip-pep_continuumStep_4_stereo.wav","pip","pep","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","11","NA","NA","0","3","11","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","609","NA","NA","7","odd","NA","NA","11872","77615","113048","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pop-top_step5.wav","pop","top","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","12","NA","NA","0","3","12","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","591","NA","NA","7","odd","NA","NA","11872","77615","115516","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","tap-kap_step6.wav","tap","kap","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","13","NA","NA","0","3","13","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","292","NA","NA","7","odd","NA","NA","11872","77615","117915","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","doos-toos_F0_1_VOT_1_stereo.wav","doos","toos","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","14","NA","NA","0","3","14","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","A","NA","NA","NA","421","352","NA","NA","7","odd","NA","NA","11872","77615","120201","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","tuin-duin_F0_1_VOT_1_stereo.wav","tuin","duin","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","15","NA","NA","0","3","15","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","A","NA","NA","NA","421","545","NA","NA","7","odd","NA","NA","11872","77615","122332","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","bier-buur_Step4stereo.wav","bier","buur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","16","NA","NA","0","3","16","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","A","NA","NA","NA","421","531","NA","NA","7","odd","NA","NA","11872","77615","124622","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","tuin-duin_F0_3_VOT_3_stereo.wav","tuin","duin","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","17","NA","NA","0","3","17","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","A","NA","NA","NA","421","619","NA","NA","7","odd","NA","NA","11872","77615","126941","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pip-pep_continuumStep_1_stereo.wav","pip","pep","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","18","NA","NA","0","3","18","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","A","NA","NA","NA","421","433","NA","NA","7","odd","NA","NA","11872","77615","129426","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pip-pep_continuumStep_3_stereo.wav","pip","pep","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","19","NA","NA","0","3","19","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","A","NA","NA","NA","421","782","NA","NA","7","odd","NA","NA","11872","77615","131731","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pip-pep_continuumStep_7_stereo.wav","pip","pep","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","20","NA","NA","0","3","20","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","507","NA","NA","7","odd","NA","NA","11872","77615","134389","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kik-kek_continuumStep_2_stereo.wav","kek","kik","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","21","NA","NA","0","3","21","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","632","NA","NA","7","odd","NA","NA","11872","77615","136647","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pop-top_step2.wav","pop","top","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","22","NA","NA","0","3","22","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","746","NA","NA","7","odd","NA","NA","11872","77615","139130","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kik-kek_continuumStep_7_stereo.wav","kek","kik","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","23","NA","NA","0","3","23","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","A","NA","NA","NA","421","614","NA","NA","7","odd","NA","NA","11872","77615","141627","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","bier-buur_Step3stereo.wav","bier","buur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","24","NA","NA","0","3","24","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","A","NA","NA","NA","421","585","NA","NA","7","odd","NA","NA","11872","77615","143988","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","sik-sec2.wav","sik","sec","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","25","NA","NA","0","3","25","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","A","NA","NA","NA","421","669","NA","NA","7","odd","NA","NA","11872","77615","146532","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pier-puur6_stereo.wav","pier","puur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","26","NA","NA","0","3","26","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","721","NA","NA","7","odd","NA","NA","11872","77615","148927","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","sik-sec4.wav","sik","sec","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","27","NA","NA","0","3","27","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","533","NA","NA","7","odd","NA","NA","11872","77615","151603","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pier-puur1_stereo.wav","pier","puur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","28","NA","NA","0","3","28","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","A","NA","NA","NA","421","617","NA","NA","7","odd","NA","NA","11872","77615","153867","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","29","NA","NA","0","3","29","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","216","NA","NA","7","odd","NA","NA","11872","77615","156497","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","bier-buur_Step7stereo.wav","bier","buur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","30","NA","NA","0","3","30","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","A","NA","NA","NA","421","544","NA","NA","7","odd","NA","NA","11872","77615","158454","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","dak-tak_F0_3_VOT_3_stereo.wav","dak","tak","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","31","NA","NA","0","3","31","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","472","NA","NA","7","odd","NA","NA","11872","77615","160810","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pop-top_step7.wav","pop","top","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","32","NA","NA","0","3","32","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","476","NA","NA","7","odd","NA","NA","11872","77615","163137","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","tuin-duin_F0_6_VOT_6_stereo.wav","tuin","duin","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","33","NA","NA","0","3","33","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","A","NA","NA","NA","421","523","NA","NA","7","odd","NA","NA","11872","77615","165409","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","dak-tak_F0_4_VOT_4_stereo.wav","dak","tak","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","34","NA","NA","0","3","34","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","E","NA","A","E","NA","NA","NA","421","440","NA","NA","7","odd","NA","NA","11872","77615","167744","NA","NA","78036","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","tuin-duin_F0_2_VOT_2_stereo.wav","tuin","duin","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","35","NA","NA","0","3","35","NA","NA","NA","Mon May 13 13:59:59 2024","NA","NA","A","NA","A","A","NA","NA","NA","421","692","NA","NA","7","odd","NA","NA","11872","77615","169966","NA","NA","78036","BB-NB","0"
