"BB_prct_audio","BB_prct_left","BB_prct_right","BB_test_audio","BB_test_left","BB_test_right","NB_prct_audio","NB_prct_left","NB_prct_right","NB_test_audio","NB_test_left","NB_test_right","average_response_time","congruency","correct","correct_keyboard_response_letter","correct_radboudbox_response_BB_practice","correct_response","count_BB_practice_sequence","count_BB_test_sequence","count_NB_practice_sequence","count_NB_test_sequence","count_radboudbox_init","count_radboudbox_response_BB_practice","count_radboudbox_response_BB_test","count_radboudbox_response_NB_practice","count_radboudbox_response_NB_test","count_washout_sequence","datetime","distractor_position","gaze_cue","response","response_keyboard_response_letter","response_radboudbox_response_BB_practice","response_radboudbox_response_BB_test","response_radboudbox_response_NB_practice","response_radboudbox_response_NB_test","response_time_keyboard_response_letter","response_time_radboudbox_response_BB_practice","response_time_radboudbox_response_BB_test","response_time_radboudbox_response_NB_practice","response_time_radboudbox_response_NB_test","subject_nr","subject_parity","target_letter","target_position","time_radboudbox_init","time_radboudbox_response_BB_practice","time_radboudbox_response_BB_test","time_radboudbox_response_NB_practice","time_radboudbox_response_NB_test","time_response_radboudbox_response_BB_practice","title","total_correct"
"pop-top_step1.wav","pop","top","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","0","NA","NA","NA","0","0","NA","NA","NA","NA","Wed May  8 14:03:12 2024","NA","NA","A","NA","A","NA","NA","NA","NA","1469","NA","NA","NA","4","even","NA","NA","12337","83698","NA","NA","NA","85167","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","1","NA","NA","NA","0","1","NA","NA","NA","NA","Wed May  8 14:03:12 2024","NA","NA","E","NA","E","NA","NA","NA","NA","757","NA","NA","NA","4","even","NA","NA","12337","87296","NA","NA","NA","88053","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","2","NA","NA","NA","0","2","NA","NA","NA","NA","Wed May  8 14:03:12 2024","NA","NA","A","NA","A","NA","NA","NA","NA","448","NA","NA","NA","4","even","NA","NA","12337","89907","NA","NA","NA","90355","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","NA","NA","NA","0","3","NA","NA","NA","NA","Wed May  8 14:03:12 2024","NA","NA","A","NA","A","NA","NA","NA","NA","200","NA","NA","NA","4","even","NA","NA","12337","92252","NA","NA","NA","92452","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","pip-pep_continuumStep_4_stereo.wav","pip","pep","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","0","NA","NA","0","3","0","NA","NA","NA","Wed May  8 14:03:12 2024","NA","NA","E","NA","A","E","NA","NA","NA","200","628","NA","NA","4","even","NA","NA","12337","92252","100975","NA","NA","92452","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","pier-puur4_stereo.wav","pier","puur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","1","NA","NA","0","3","1","NA","NA","NA","Wed May  8 14:03:12 2024","NA","NA","A","NA","A","A","NA","NA","NA","200","655","NA","NA","4","even","NA","NA","12337","92252","103367","NA","NA","92452","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","sik-sec1.wav","sik","sec","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","2","NA","NA","0","3","2","NA","NA","NA","Wed May  8 14:03:12 2024","NA","NA","A","NA","A","A","NA","NA","NA","200","339","NA","NA","4","even","NA","NA","12337","92252","106007","NA","NA","92452","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","bier-buur_Step4stereo.wav","bier","buur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","3","NA","NA","0","3","3","NA","NA","NA","Wed May  8 14:03:12 2024","NA","NA","A","NA","A","A","NA","NA","NA","200","378","NA","NA","4","even","NA","NA","12337","92252","108135","NA","NA","92452","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","kauw-tauw_step4.wav","kauw","touw","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","4","NA","NA","0","3","4","NA","NA","NA","Wed May  8 14:03:12 2024","NA","NA","E","NA","A","E","NA","NA","NA","200","290","NA","NA","4","even","NA","NA","12337","92252","110398","NA","NA","92452","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","5","NA","NA","0","3","5","NA","NA","NA","Wed May  8 14:03:12 2024","NA","NA","A","NA","A","A","NA","NA","NA","200","332","NA","NA","4","even","NA","NA","12337","92252","112518","NA","NA","92452","BB-NB","0"
