"BB_prct_audio","BB_prct_left","BB_prct_right","BB_test_audio","BB_test_left","BB_test_right","NB_prct_audio","NB_prct_left","NB_prct_right","NB_test_audio","NB_test_left","NB_test_right","average_response_time","congruency","correct","correct_keyboard_response_letter","correct_radboudbox_response_NB_practice","correct_response","count_BB_practice_sequence","count_BB_test_sequence","count_NB_practice_sequence","count_NB_test_sequence","count_radboudbox_init","count_radboudbox_response_BB_practice","count_radboudbox_response_BB_test","count_radboudbox_response_NB_practice","count_radboudbox_response_NB_test","count_washout_sequence","datetime","distractor_position","gaze_cue","live_row_NB_practice_loop","response","response_keyboard_response_letter","response_radboudbox_response_BB_practice","response_radboudbox_response_BB_test","response_radboudbox_response_NB_practice","response_radboudbox_response_NB_test","response_time_keyboard_response_letter","response_time_radboudbox_response_BB_practice","response_time_radboudbox_response_BB_test","response_time_radboudbox_response_NB_practice","response_time_radboudbox_response_NB_test","subject_nr","subject_parity","target_letter","target_position","time_radboudbox_init","time_radboudbox_response_BB_practice","time_radboudbox_response_BB_test","time_radboudbox_response_NB_practice","time_radboudbox_response_NB_test","time_response_radboudbox_response_NB_practice","title","total_correct"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","NA","NA","NA","9146","NA","undefined","NA","undefined","NA","NA","NA","0","NA","0","NA","NA","0","NA","NA","Wed May  8 16:52:21 2024","NA","NA","0","A","NA","NA","NA","A","NA","NA","NA","NA","446","NA","5","odd","NA","NA","11300","NA","NA","21814","NA","22260","NB-BB","0"
"NA","NA","NA","NA","NA","NA","kauw-tauw_step5.wav","touw","kauw","NA","NA","NA","9146","NA","undefined","NA","undefined","NA","NA","NA","1","NA","0","NA","NA","1","NA","NA","Wed May  8 16:52:21 2024","NA","NA","1","A","NA","NA","NA","A","NA","NA","NA","NA","110","NA","5","odd","NA","NA","11300","NA","NA","24216","NA","24326","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","NA","NA","NA","9146","NA","undefined","NA","undefined","NA","NA","NA","2","NA","0","NA","NA","2","NA","NA","Wed May  8 16:52:21 2024","NA","NA","2","A","NA","NA","NA","A","NA","NA","NA","NA","3061","NA","5","odd","NA","NA","11300","NA","NA","26168","NA","29229","NB-BB","0"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","NA","NA","NA","9146","NA","undefined","NA","undefined","NA","NA","NA","3","NA","0","NA","NA","3","NA","NA","Wed May  8 16:52:21 2024","NA","NA","3","E","NA","NA","NA","E","NA","NA","NA","NA","36","NA","5","odd","NA","NA","11300","NA","NA","31265","NA","31301","NB-BB","0"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","doos-toos_F0_1_VOT_1_stereo.wav","doos","toos","9146","NA","undefined","NA","undefined","NA","NA","NA","3","0","0","NA","NA","3","0","NA","Wed May  8 16:52:21 2024","NA","NA","3","A","NA","NA","NA","E","A","NA","NA","NA","36","159","5","odd","NA","NA","11300","NA","NA","31265","41247","31301","NB-BB","0"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","doos-toos_F0_5_VOT_5_stereo.wav","doos","toos","9146","NA","undefined","NA","undefined","NA","NA","NA","3","1","0","NA","NA","3","1","NA","Wed May  8 16:52:21 2024","NA","NA","3","E","NA","NA","NA","E","E","NA","NA","NA","36","3821","5","odd","NA","NA","11300","NA","NA","31265","43416","31301","NB-BB","0"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","pier-puur6_stereo.wav","pier","puur","9146","NA","undefined","NA","undefined","NA","NA","NA","3","2","0","NA","NA","3","2","NA","Wed May  8 16:52:21 2024","NA","NA","3","A","NA","NA","NA","E","A","NA","NA","NA","36","330","5","odd","NA","NA","11300","NA","NA","31265","48950","31301","NB-BB","0"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","kauw-tauw_step4.wav","kauw","touw","9146","NA","undefined","NA","undefined","NA","NA","NA","3","3","0","NA","NA","3","3","NA","Wed May  8 16:52:21 2024","NA","NA","3","A","NA","NA","NA","E","A","NA","NA","NA","36","68","5","odd","NA","NA","11300","NA","NA","31265","51139","31301","NB-BB","0"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","tap-kap_Step1.wav","tap","kap","9146","NA","undefined","NA","undefined","NA","NA","NA","3","4","0","NA","NA","3","4","NA","Wed May  8 16:52:21 2024","NA","NA","3","A","NA","NA","NA","E","A","NA","NA","NA","36","162","5","odd","NA","NA","11300","NA","NA","31265","53027","31301","NB-BB","0"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","sik-sec4.wav","sik","sec","9146","NA","undefined","NA","undefined","NA","NA","NA","3","5","0","NA","NA","3","5","NA","Wed May  8 16:52:21 2024","NA","NA","3","E","NA","NA","NA","E","E","NA","NA","NA","36","203","5","odd","NA","NA","11300","NA","NA","31265","55133","31301","NB-BB","0"
