"BB_prct_audio","BB_prct_left","BB_prct_right","BB_test_audio","BB_test_left","BB_test_right","NB_prct_audio","NB_prct_left","NB_prct_right","NB_test_audio","NB_test_left","NB_test_right","average_response_time","congruency","correct","correct_keyboard_response_letter","correct_radboudbox_response_BB_practice","correct_response","count_BB_practice_sequence","count_BB_test_sequence","count_NB_practice_sequence","count_NB_test_sequence","count_radboudbox_init","count_radboudbox_response_BB_practice","count_radboudbox_response_BB_test","count_radboudbox_response_NB_practice","count_radboudbox_response_NB_test","count_washout_sequence","datetime","distractor_position","gaze_cue","response","response_keyboard_response_letter","response_radboudbox_response_BB_practice","response_radboudbox_response_BB_test","response_radboudbox_response_NB_practice","response_radboudbox_response_NB_test","response_time_keyboard_response_letter","response_time_radboudbox_response_BB_practice","response_time_radboudbox_response_BB_test","response_time_radboudbox_response_NB_practice","response_time_radboudbox_response_NB_test","subject_nr","subject_parity","target_letter","target_position","time_radboudbox_init","time_radboudbox_response_BB_practice","time_radboudbox_response_BB_test","time_radboudbox_response_NB_practice","time_radboudbox_response_NB_test","time_response_radboudbox_response_BB_practice","title","total_correct"
"pop-top_step1.wav","pop","top","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","0","NA","NA","NA","0","0","NA","NA","NA","NA","Wed May 15 12:35:03 2024","NA","NA","A","NA","A","NA","NA","NA","NA","777","NA","NA","NA","12","even","NA","NA","11887","53414","NA","NA","NA","54191","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","1","NA","NA","NA","0","1","NA","NA","NA","NA","Wed May 15 12:35:03 2024","NA","NA","A","NA","A","NA","NA","NA","NA","309","NA","NA","NA","12","even","NA","NA","11887","56057","NA","NA","NA","56366","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","2","NA","NA","NA","0","2","NA","NA","NA","NA","Wed May 15 12:35:03 2024","NA","NA","A","NA","A","NA","NA","NA","NA","252","NA","NA","NA","12","even","NA","NA","11887","58260","NA","NA","NA","58512","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","NA","NA","NA","0","3","NA","NA","NA","NA","Wed May 15 12:35:03 2024","NA","NA","E","NA","E","NA","NA","NA","NA","40","NA","NA","NA","12","even","NA","NA","11887","60515","NA","NA","NA","60555","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","kauw-tauw_step3.wav","kauw","touw","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","0","NA","NA","0","3","0","NA","NA","NA","Wed May 15 12:35:03 2024","NA","NA","A","NA","E","A","NA","NA","NA","40","384","NA","NA","12","even","NA","NA","11887","60515","68801","NA","NA","60555","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","dak-tak_F0_3_VOT_3_stereo.wav","dak","tak","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","1","NA","NA","0","3","1","NA","NA","NA","Wed May 15 12:35:03 2024","NA","NA","E","NA","E","E","NA","NA","NA","40","145","NA","NA","12","even","NA","NA","11887","60515","71006","NA","NA","60555","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","pop-top_step6.wav","pop","top","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","2","NA","NA","0","3","2","NA","NA","NA","Wed May 15 12:35:03 2024","NA","NA","E","NA","E","E","NA","NA","NA","40","96","NA","NA","12","even","NA","NA","11887","60515","72990","NA","NA","60555","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","bier-buur_Step4stereo.wav","bier","buur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","3","NA","NA","0","3","3","NA","NA","NA","Wed May 15 12:35:03 2024","NA","NA","A","NA","E","A","NA","NA","NA","40","406","NA","NA","12","even","NA","NA","11887","60515","74815","NA","NA","60555","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","kauw-tauw_step4.wav","kauw","touw","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","4","NA","NA","0","3","4","NA","NA","NA","Wed May 15 12:35:03 2024","NA","NA","A","NA","E","A","NA","NA","NA","40","142","NA","NA","12","even","NA","NA","11887","60515","77105","NA","NA","60555","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","dak-tak_F0_4_VOT_4_stereo.wav","dak","tak","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","5","NA","NA","0","3","5","NA","NA","NA","Wed May 15 12:35:03 2024","NA","NA","E","NA","E","E","NA","NA","NA","40","284","NA","NA","12","even","NA","NA","11887","60515","79053","NA","NA","60555","BB-NB","0"
