"BB_prct_audio","BB_prct_left","BB_prct_right","BB_test_audio","BB_test_left","BB_test_right","NB_prct_audio","NB_prct_left","NB_prct_right","NB_test_audio","NB_test_left","NB_test_right","average_response_time","congruency","correct","correct_keyboard_response_letter","correct_radboudbox_response_BB_practice","correct_response","count_BB_practice_sequence","count_BB_test_sequence","count_NB_practice_sequence","count_NB_test_sequence","count_radboudbox_init","count_radboudbox_response_BB_practice","count_radboudbox_response_BB_test","count_radboudbox_response_NB_practice","count_radboudbox_response_NB_test","count_washout_sequence","datetime","distractor_position","gaze_cue","response","response_keyboard_response_letter","response_radboudbox_response_BB_practice","response_radboudbox_response_BB_test","response_radboudbox_response_NB_practice","response_radboudbox_response_NB_test","response_time_keyboard_response_letter","response_time_radboudbox_response_BB_practice","response_time_radboudbox_response_BB_test","response_time_radboudbox_response_NB_practice","response_time_radboudbox_response_NB_test","subject_nr","subject_parity","target_letter","target_position","time_radboudbox_init","time_radboudbox_response_BB_practice","time_radboudbox_response_BB_test","time_radboudbox_response_NB_practice","time_radboudbox_response_NB_test","time_response_radboudbox_response_BB_practice","title","total_correct"
"pop-top_step1.wav","pop","top","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","0","NA","NA","NA","0","0","NA","NA","NA","NA","Tue May 28 11:05:22 2024","NA","NA","A","NA","A","NA","NA","NA","NA","1164","NA","NA","NA","17","odd","NA","NA","12073","76670","NA","NA","NA","77834","BB-NB","0"
"doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","1","NA","NA","NA","0","1","NA","NA","NA","NA","Tue May 28 11:05:22 2024","NA","NA","E","NA","E","NA","NA","NA","NA","260","NA","NA","NA","17","odd","NA","NA","12073","79940","NA","NA","NA","80200","BB-NB","0"
"tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","2","NA","NA","NA","0","2","NA","NA","NA","NA","Tue May 28 11:05:22 2024","NA","NA","A","NA","A","NA","NA","NA","NA","410","NA","NA","NA","17","odd","NA","NA","12073","81993","NA","NA","NA","82403","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","NA","NA","NA","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","NA","NA","NA","0","3","NA","NA","NA","NA","Tue May 28 11:05:22 2024","NA","NA","A","NA","A","NA","NA","NA","NA","445","NA","NA","NA","17","odd","NA","NA","12073","84275","NA","NA","NA","84720","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","kauw-tauw_step3.wav","kauw","touw","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","0","NA","NA","0","3","0","NA","NA","NA","Tue May 28 11:05:22 2024","NA","NA","A","NA","A","A","NA","NA","NA","445","524","NA","NA","17","odd","NA","NA","12073","84275","94590","NA","NA","84720","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","dier-duur_Step6stereo.wav","dier","duur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","1","NA","NA","0","3","1","NA","NA","NA","Tue May 28 11:05:22 2024","NA","NA","E","NA","A","E","NA","NA","NA","445","884","NA","NA","17","odd","NA","NA","12073","84275","96881","NA","NA","84720","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","dak-tak_F0_4_VOT_4_stereo.wav","dak","tak","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","2","NA","NA","0","3","2","NA","NA","NA","Tue May 28 11:05:22 2024","NA","NA","E","NA","A","E","NA","NA","NA","445","508","NA","NA","17","odd","NA","NA","12073","84275","99582","NA","NA","84720","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","pop-top_step1.wav","pop","top","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","3","NA","NA","0","3","3","NA","NA","NA","Tue May 28 11:05:22 2024","NA","NA","A","NA","A","A","NA","NA","NA","445","254","NA","NA","17","odd","NA","NA","12073","84275","101946","NA","NA","84720","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","dak-tak_F0_6_VOT_6_stereo.wav","dak","tak","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","4","NA","NA","0","3","4","NA","NA","NA","Tue May 28 11:05:22 2024","NA","NA","E","NA","A","E","NA","NA","NA","445","336","NA","NA","17","odd","NA","NA","12073","84275","104027","NA","NA","84720","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","tuin-duin_F0_6_VOT_6_stereo.wav","tuin","duin","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","5","NA","NA","0","3","5","NA","NA","NA","Tue May 28 11:05:22 2024","NA","NA","A","NA","A","A","NA","NA","NA","445","358","NA","NA","17","odd","NA","NA","12073","84275","106173","NA","NA","84720","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","pier-puur4_stereo.wav","pier","puur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","6","NA","NA","0","3","6","NA","NA","NA","Tue May 28 11:05:22 2024","NA","NA","A","NA","A","A","NA","NA","NA","445","879","NA","NA","17","odd","NA","NA","12073","84275","108260","NA","NA","84720","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","kauw-tauw_step5.wav","kauw","touw","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","7","NA","NA","0","3","7","NA","NA","NA","Tue May 28 11:05:22 2024","NA","NA","E","NA","A","E","NA","NA","NA","445","617","NA","NA","17","odd","NA","NA","12073","84275","111009","NA","NA","84720","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","pip-pep_continuumStep_2_stereo.wav","pip","pep","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","8","NA","NA","0","3","8","NA","NA","NA","Tue May 28 11:05:22 2024","NA","NA","A","NA","A","A","NA","NA","NA","445","225","NA","NA","17","odd","NA","NA","12073","84275","113498","NA","NA","84720","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","tap-kap_step4.wav","tap","kap","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","9","NA","NA","0","3","9","NA","NA","NA","Tue May 28 11:05:22 2024","NA","NA","E","NA","A","E","NA","NA","NA","445","347","NA","NA","17","odd","NA","NA","12073","84275","115532","NA","NA","84720","BB-NB","0"
"kauw-tauw_step5.wav","touw","kauw","bier-buur_Step5stereo.wav","bier","buur","NA","NA","NA","NA","NA","NA","undefined","NA","undefined","NA","undefined","NA","3","10","NA","NA","0","3","10","NA","NA","NA","Tue May 28 11:05:22 2024","NA","NA","A","NA","A","A","NA","NA","NA","445","354","NA","NA","17","odd","NA","NA","12073","84275","117626","NA","NA","84720","BB-NB","0"
