"BB_prct_audio","BB_prct_left","BB_prct_right","BB_test_audio","BB_test_left","BB_test_right","NB_prct_audio","NB_prct_left","NB_prct_right","NB_test_audio","NB_test_left","NB_test_right","average_response_time","congruency","correct","correct_keyboard_response_letter","correct_radboudbox_response_NB_practice","correct_response","count_BB_practice_sequence","count_BB_test_sequence","count_NB_practice_sequence","count_NB_test_sequence","count_radboudbox_init","count_radboudbox_response_BB_practice","count_radboudbox_response_BB_test","count_radboudbox_response_NB_practice","count_radboudbox_response_NB_test","count_washout_sequence","datetime","distractor_position","gaze_cue","live_row_NB_practice_loop","response","response_keyboard_response_letter","response_radboudbox_response_BB_practice","response_radboudbox_response_BB_test","response_radboudbox_response_NB_practice","response_radboudbox_response_NB_test","response_time_keyboard_response_letter","response_time_radboudbox_response_BB_practice","response_time_radboudbox_response_BB_test","response_time_radboudbox_response_NB_practice","response_time_radboudbox_response_NB_test","subject_nr","subject_parity","target_letter","target_position","time_radboudbox_init","time_radboudbox_response_BB_practice","time_radboudbox_response_BB_test","time_radboudbox_response_NB_practice","time_radboudbox_response_NB_test","time_response_radboudbox_response_NB_practice","title","total_correct"
"NA","NA","NA","NA","NA","NA","kauw-tauw_step5.wav","touw","kauw","NA","NA","NA","9913","NA","undefined","NA","undefined","NA","NA","NA","0","NA","0","NA","NA","0","NA","NA","Tue May 14 14:45:36 2024","NA","NA","0","A","NA","NA","NA","A","NA","NA","NA","NA","950","NA","8","even","NA","NA","11492","NA","NA","22880","NA","23830","NB-BB","0"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","NA","NA","NA","9913","NA","undefined","NA","undefined","NA","NA","NA","1","NA","0","NA","NA","1","NA","NA","Tue May 14 14:45:36 2024","NA","NA","1","E","NA","NA","NA","E","NA","NA","NA","NA","421","NA","8","even","NA","NA","11492","NA","NA","25931","NA","26352","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","NA","NA","NA","9913","NA","undefined","NA","undefined","NA","NA","NA","2","NA","0","NA","NA","2","NA","NA","Tue May 14 14:45:36 2024","NA","NA","2","A","NA","NA","NA","A","NA","NA","NA","NA","409","NA","8","even","NA","NA","11492","NA","NA","28156","NA","28565","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","NA","NA","NA","9913","NA","undefined","NA","undefined","NA","NA","NA","3","NA","0","NA","NA","3","NA","NA","Tue May 14 14:45:36 2024","NA","NA","3","A","NA","NA","NA","A","NA","NA","NA","NA","275","NA","8","even","NA","NA","11492","NA","NA","30429","NA","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","doos-toos_F0_4_VOT_4_stereo.wav","doos","toos","9913","NA","undefined","NA","undefined","NA","NA","NA","3","0","0","NA","NA","3","0","NA","Tue May 14 14:45:36 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","275","606","8","even","NA","NA","11492","NA","NA","30429","39290","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","sik-sec6.wav","sik","sec","9913","NA","undefined","NA","undefined","NA","NA","NA","3","1","0","NA","NA","3","1","NA","Tue May 14 14:45:36 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","275","756","8","even","NA","NA","11492","NA","NA","30429","41875","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","pop-top_step5.wav","pop","top","9913","NA","undefined","NA","undefined","NA","NA","NA","3","2","0","NA","NA","3","2","NA","Tue May 14 14:45:36 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","275","436","8","even","NA","NA","11492","NA","NA","30429","44501","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","pier-puur1_stereo.wav","pier","puur","9913","NA","undefined","NA","undefined","NA","NA","NA","3","3","0","NA","NA","3","3","NA","Tue May 14 14:45:36 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","275","697","8","even","NA","NA","11492","NA","NA","30429","46672","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","sik-sec4.wav","sik","sec","9913","NA","undefined","NA","undefined","NA","NA","NA","3","4","0","NA","NA","3","4","NA","Tue May 14 14:45:36 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","275","567","8","even","NA","NA","11492","NA","NA","30429","49348","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","kauw-tauw_step5.wav","kauw","touw","9913","NA","undefined","NA","undefined","NA","NA","NA","3","5","0","NA","NA","3","5","NA","Tue May 14 14:45:36 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","275","477","8","even","NA","NA","11492","NA","NA","30429","51808","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","doos-toos_F0_5_VOT_5_stereo.wav","doos","toos","9913","NA","undefined","NA","undefined","NA","NA","NA","3","6","0","NA","NA","3","6","NA","Tue May 14 14:45:36 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","275","305","8","even","NA","NA","11492","NA","NA","30429","54304","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","kik-kek_continuumStep_4_stereo.wav","kek","kik","9913","NA","undefined","NA","undefined","NA","NA","NA","3","7","0","NA","NA","3","7","NA","Tue May 14 14:45:36 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","275","465","8","even","NA","NA","11492","NA","NA","30429","56377","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","kik-kek_continuumStep_5_stereo.wav","kek","kik","9913","NA","undefined","NA","undefined","NA","NA","NA","3","8","0","NA","NA","3","8","NA","Tue May 14 14:45:36 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","275","504","8","even","NA","NA","11492","NA","NA","30429","58622","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","pop-top_step6.wav","pop","top","9913","NA","undefined","NA","undefined","NA","NA","NA","3","9","0","NA","NA","3","9","NA","Tue May 14 14:45:36 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","275","375","8","even","NA","NA","11492","NA","NA","30429","60997","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","sik-sec3.wav","sik","sec","9913","NA","undefined","NA","undefined","NA","NA","NA","3","10","0","NA","NA","3","10","NA","Tue May 14 14:45:36 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","275","538","8","even","NA","NA","11492","NA","NA","30429","63356","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","bier-buur_Step7stereo.wav","bier","buur","9913","NA","undefined","NA","undefined","NA","NA","NA","3","11","0","NA","NA","3","11","NA","Tue May 14 14:45:36 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","275","1232","8","even","NA","NA","11492","NA","NA","30429","65673","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","pip-pep_continuumStep_1_stereo.wav","pip","pep","9913","NA","undefined","NA","undefined","NA","NA","NA","3","12","0","NA","NA","3","12","NA","Tue May 14 14:45:36 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","275","491","8","even","NA","NA","11492","NA","NA","30429","68786","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","bier-buur_Step2stereo.wav","bier","buur","9913","NA","undefined","NA","undefined","NA","NA","NA","3","13","0","NA","NA","3","13","NA","Tue May 14 14:45:36 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","275","620","8","even","NA","NA","11492","NA","NA","30429","71032","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","kauw-tauw_step4.wav","kauw","touw","9913","NA","undefined","NA","undefined","NA","NA","NA","3","14","0","NA","NA","3","14","NA","Tue May 14 14:45:36 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","275","598","8","even","NA","NA","11492","NA","NA","30429","73539","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","tuin-duin_F0_3_VOT_3_stereo.wav","tuin","duin","9913","NA","undefined","NA","undefined","NA","NA","NA","3","15","0","NA","NA","3","15","NA","Tue May 14 14:45:36 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","275","482","8","even","NA","NA","11492","NA","NA","30429","75936","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","kik-kek_continuumStep_2_stereo.wav","kek","kik","9913","NA","undefined","NA","undefined","NA","NA","NA","3","16","0","NA","NA","3","16","NA","Tue May 14 14:45:36 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","275","429","8","even","NA","NA","11492","NA","NA","30429","78186","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","dier-duur_Step5stereo.wav","dier","duur","9913","NA","undefined","NA","undefined","NA","NA","NA","3","17","0","NA","NA","3","17","NA","Tue May 14 14:45:36 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","275","472","8","even","NA","NA","11492","NA","NA","30429","80396","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","kik-kek_continuumStep_7_stereo.wav","kek","kik","9913","NA","undefined","NA","undefined","NA","NA","NA","3","18","0","NA","NA","3","18","NA","Tue May 14 14:45:36 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","275","375","8","even","NA","NA","11492","NA","NA","30429","82640","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","dak-tak_F0_4_VOT_4_stereo.wav","dak","tak","9913","NA","undefined","NA","undefined","NA","NA","NA","3","19","0","NA","NA","3","19","NA","Tue May 14 14:45:36 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","275","270","8","even","NA","NA","11492","NA","NA","30429","84864","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","bier-buur_Step4stereo.wav","bier","buur","9913","NA","undefined","NA","undefined","NA","NA","NA","3","20","0","NA","NA","3","20","NA","Tue May 14 14:45:36 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","275","469","8","even","NA","NA","11492","NA","NA","30429","86889","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","pip-pep_continuumStep_5_stereo.wav","pip","pep","9913","NA","undefined","NA","undefined","NA","NA","NA","3","21","0","NA","NA","3","21","NA","Tue May 14 14:45:36 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","275","740","8","even","NA","NA","11492","NA","NA","30429","89238","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","sik-sec7.wav","sik","sec","9913","NA","undefined","NA","undefined","NA","NA","NA","3","22","0","NA","NA","3","22","NA","Tue May 14 14:45:36 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","275","438","8","even","NA","NA","11492","NA","NA","30429","91949","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","dak-tak_F0_7_VOT_7_stereo.wav","dak","tak","9913","NA","undefined","NA","undefined","NA","NA","NA","3","23","0","NA","NA","3","23","NA","Tue May 14 14:45:36 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","275","411","8","even","NA","NA","11492","NA","NA","30429","94228","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","kauw-tauw_step7.wav","kauw","touw","9913","NA","undefined","NA","undefined","NA","NA","NA","3","24","0","NA","NA","3","24","NA","Tue May 14 14:45:36 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","275","349","8","even","NA","NA","11492","NA","NA","30429","96527","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","dak-tak_F0_2_VOT_2_stereo.wav","dak","tak","9913","NA","undefined","NA","undefined","NA","NA","NA","3","25","0","NA","NA","3","25","NA","Tue May 14 14:45:36 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","275","663","8","even","NA","NA","11492","NA","NA","30429","98697","30704","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","tap-kap_Step1.wav","tap","kap","9913","NA","undefined","NA","undefined","NA","NA","NA","3","26","0","NA","NA","3","26","NA","Tue May 14 14:45:36 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","275","563","8","even","NA","NA","11492","NA","NA","30429","101190","30704","NB-BB","0"
