"BB_prct_audio","BB_prct_left","BB_prct_right","BB_test_audio","BB_test_left","BB_test_right","NB_prct_audio","NB_prct_left","NB_prct_right","NB_test_audio","NB_test_left","NB_test_right","average_response_time","congruency","correct","correct_keyboard_response_letter","correct_radboudbox_response_NB_practice","correct_response","count_BB_practice_sequence","count_BB_test_sequence","count_NB_practice_sequence","count_NB_test_sequence","count_radboudbox_init","count_radboudbox_response_BB_practice","count_radboudbox_response_BB_test","count_radboudbox_response_NB_practice","count_radboudbox_response_NB_test","count_washout_sequence","datetime","distractor_position","gaze_cue","live_row_NB_practice_loop","response","response_keyboard_response_letter","response_radboudbox_response_BB_practice","response_radboudbox_response_BB_test","response_radboudbox_response_NB_practice","response_radboudbox_response_NB_test","response_time_keyboard_response_letter","response_time_radboudbox_response_BB_practice","response_time_radboudbox_response_BB_test","response_time_radboudbox_response_NB_practice","response_time_radboudbox_response_NB_test","subject_nr","subject_parity","target_letter","target_position","time_radboudbox_init","time_radboudbox_response_BB_practice","time_radboudbox_response_BB_test","time_radboudbox_response_NB_practice","time_radboudbox_response_NB_test","time_response_radboudbox_response_NB_practice","title","total_correct"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","NA","NA","NA","12307","NA","undefined","NA","undefined","NA","NA","NA","0","NA","0","NA","NA","0","NA","NA","Wed May  8 13:03:56 2024","NA","NA","0","A","NA","NA","NA","A","NA","NA","NA","NA","794","NA","3","odd","NA","NA","12139","NA","NA","25868","NA","26662","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","NA","NA","NA","12307","NA","undefined","NA","undefined","NA","NA","NA","1","NA","0","NA","NA","1","NA","NA","Wed May  8 13:03:56 2024","NA","NA","1","A","NA","NA","NA","A","NA","NA","NA","NA","351","NA","3","odd","NA","NA","12139","NA","NA","28599","NA","28950","NB-BB","0"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","NA","NA","NA","12307","NA","undefined","NA","undefined","NA","NA","NA","2","NA","0","NA","NA","2","NA","NA","Wed May  8 13:03:56 2024","NA","NA","2","E","NA","NA","NA","E","NA","NA","NA","NA","270","NA","3","odd","NA","NA","12139","NA","NA","30974","NA","31244","NB-BB","0"
"NA","NA","NA","NA","NA","NA","kauw-tauw_step5.wav","touw","kauw","NA","NA","NA","12307","NA","undefined","NA","undefined","NA","NA","NA","3","NA","0","NA","NA","3","NA","NA","Wed May  8 13:03:56 2024","NA","NA","3","A","NA","NA","NA","A","NA","NA","NA","NA","155","NA","3","odd","NA","NA","12139","NA","NA","33128","NA","33283","NB-BB","0"
"NA","NA","NA","NA","NA","NA","kauw-tauw_step5.wav","touw","kauw","pier-puur5_stereo.wav","pier","puur","12307","NA","undefined","NA","undefined","NA","NA","NA","3","0","0","NA","NA","3","0","NA","Wed May  8 13:03:56 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","155","1306","3","odd","NA","NA","12139","NA","NA","33128","44678","33283","NB-BB","0"
"NA","NA","NA","NA","NA","NA","kauw-tauw_step5.wav","touw","kauw","pop-top_step4.wav","pop","top","12307","NA","undefined","NA","undefined","NA","NA","NA","3","1","0","NA","NA","3","1","NA","Wed May  8 13:03:56 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","155","274","3","odd","NA","NA","12139","NA","NA","33128","47842","33283","NB-BB","0"
"NA","NA","NA","NA","NA","NA","kauw-tauw_step5.wav","touw","kauw","kik-kek_continuumStep_6_stereo.wav","kek","kik","12307","NA","undefined","NA","undefined","NA","NA","NA","3","2","0","NA","NA","3","2","NA","Wed May  8 13:03:56 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","155","394","3","odd","NA","NA","12139","NA","NA","33128","49877","33283","NB-BB","0"
"NA","NA","NA","NA","NA","NA","kauw-tauw_step5.wav","touw","kauw","sik-sec1.wav","sik","sec","12307","NA","undefined","NA","undefined","NA","NA","NA","3","3","0","NA","NA","3","3","NA","Wed May  8 13:03:56 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","155","511","3","odd","NA","NA","12139","NA","NA","33128","52238","33283","NB-BB","0"
"NA","NA","NA","NA","NA","NA","kauw-tauw_step5.wav","touw","kauw","pip-pep_continuumStep_1_stereo.wav","pip","pep","12307","NA","undefined","NA","undefined","NA","NA","NA","3","4","0","NA","NA","3","4","NA","Wed May  8 13:03:56 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","155","1033","3","odd","NA","NA","12139","NA","NA","33128","54614","33283","NB-BB","0"
"NA","NA","NA","NA","NA","NA","kauw-tauw_step5.wav","touw","kauw","kauw-tauw_step2.wav","kauw","touw","12307","NA","undefined","NA","undefined","NA","NA","NA","3","5","0","NA","NA","3","5","NA","Wed May  8 13:03:56 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","155","319","3","odd","NA","NA","12139","NA","NA","33128","57523","33283","NB-BB","0"
