"BB_prct_audio","BB_prct_left","BB_prct_right","BB_test_audio","BB_test_left","BB_test_right","NB_prct_audio","NB_prct_left","NB_prct_right","NB_test_audio","NB_test_left","NB_test_right","average_response_time","congruency","correct","correct_keyboard_response_letter","correct_radboudbox_response_NB_practice","correct_response","count_BB_practice_sequence","count_BB_test_sequence","count_NB_practice_sequence","count_NB_test_sequence","count_radboudbox_init","count_radboudbox_response_BB_practice","count_radboudbox_response_BB_test","count_radboudbox_response_NB_practice","count_radboudbox_response_NB_test","count_washout_sequence","datetime","distractor_position","gaze_cue","live_row_NB_practice_loop","response","response_keyboard_response_letter","response_radboudbox_response_BB_practice","response_radboudbox_response_BB_test","response_radboudbox_response_NB_practice","response_radboudbox_response_NB_test","response_time_keyboard_response_letter","response_time_radboudbox_response_BB_practice","response_time_radboudbox_response_BB_test","response_time_radboudbox_response_NB_practice","response_time_radboudbox_response_NB_test","subject_nr","subject_parity","target_letter","target_position","time_radboudbox_init","time_radboudbox_response_BB_practice","time_radboudbox_response_BB_test","time_radboudbox_response_NB_practice","time_radboudbox_response_NB_test","time_response_radboudbox_response_NB_practice","title","total_correct"
"NA","NA","NA","NA","NA","NA","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","NA","NA","NA","12460","NA","undefined","NA","undefined","NA","NA","NA","0","NA","0","NA","NA","0","NA","NA","Mon May 13 13:15:06 2024","NA","NA","0","E","NA","NA","NA","E","NA","NA","NA","NA","1640","NA","6","even","NA","NA","11349","NA","NA","25419","NA","27059","NB-BB","0"
"NA","NA","NA","NA","NA","NA","pop-top_step1.wav","pop","top","NA","NA","NA","12460","NA","undefined","NA","undefined","NA","NA","NA","1","NA","0","NA","NA","1","NA","NA","Mon May 13 13:15:06 2024","NA","NA","1","A","NA","NA","NA","A","NA","NA","NA","NA","614","NA","6","even","NA","NA","11349","NA","NA","28984","NA","29598","NB-BB","0"
"NA","NA","NA","NA","NA","NA","kauw-tauw_step5.wav","touw","kauw","NA","NA","NA","12460","NA","undefined","NA","undefined","NA","NA","NA","2","NA","0","NA","NA","2","NA","NA","Mon May 13 13:15:06 2024","NA","NA","2","A","NA","NA","NA","A","NA","NA","NA","NA","619","NA","6","even","NA","NA","11349","NA","NA","31466","NA","32085","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","NA","NA","NA","12460","NA","undefined","NA","undefined","NA","NA","NA","3","NA","0","NA","NA","3","NA","NA","Mon May 13 13:15:06 2024","NA","NA","3","A","NA","NA","NA","A","NA","NA","NA","NA","471","NA","6","even","NA","NA","11349","NA","NA","33885","NA","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","doos-toos_F0_7_VOT_7_stereo.wav","doos","toos","12460","NA","undefined","NA","undefined","NA","NA","NA","3","0","0","NA","NA","3","0","NA","Mon May 13 13:15:06 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","471","665","6","even","NA","NA","11349","NA","NA","33885","49799","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","tap-kap_step4.wav","tap","kap","12460","NA","undefined","NA","undefined","NA","NA","NA","3","1","0","NA","NA","3","1","NA","Mon May 13 13:15:06 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","471","533","6","even","NA","NA","11349","NA","NA","33885","52270","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","dak-tak_F0_1_VOT_1_stereo.wav","dak","tak","12460","NA","undefined","NA","undefined","NA","NA","NA","3","2","0","NA","NA","3","2","NA","Mon May 13 13:15:06 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","471","434","6","even","NA","NA","11349","NA","NA","33885","54666","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","dier-duur_Step2stereo.wav","dier","duur","12460","NA","undefined","NA","undefined","NA","NA","NA","3","3","0","NA","NA","3","3","NA","Mon May 13 13:15:06 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","471","526","6","even","NA","NA","11349","NA","NA","33885","56876","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pip-pep_continuumStep_6_stereo.wav","pip","pep","12460","NA","undefined","NA","undefined","NA","NA","NA","3","4","0","NA","NA","3","4","NA","Mon May 13 13:15:06 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","471","420","6","even","NA","NA","11349","NA","NA","33885","59276","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pop-top_step5.wav","pop","top","12460","NA","undefined","NA","undefined","NA","NA","NA","3","5","0","NA","NA","3","5","NA","Mon May 13 13:15:06 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","471","551","6","even","NA","NA","11349","NA","NA","33885","61549","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","tap-kap_step3.wav","tap","kap","12460","NA","undefined","NA","undefined","NA","NA","NA","3","6","0","NA","NA","3","6","NA","Mon May 13 13:15:06 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","471","410","6","even","NA","NA","11349","NA","NA","33885","63905","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","sik-sec1.wav","sik","sec","12460","NA","undefined","NA","undefined","NA","NA","NA","3","7","0","NA","NA","3","7","NA","Mon May 13 13:15:06 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","471","489","6","even","NA","NA","11349","NA","NA","33885","66274","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","tap-kap_step6.wav","tap","kap","12460","NA","undefined","NA","undefined","NA","NA","NA","3","8","0","NA","NA","3","8","NA","Mon May 13 13:15:06 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","471","602","6","even","NA","NA","11349","NA","NA","33885","68573","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pier-puur7_stereo.wav","pier","puur","12460","NA","undefined","NA","undefined","NA","NA","NA","3","9","0","NA","NA","3","9","NA","Mon May 13 13:15:06 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","471","1143","6","even","NA","NA","11349","NA","NA","33885","70902","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kauw-tauw_step4.wav","kauw","touw","12460","NA","undefined","NA","undefined","NA","NA","NA","3","10","0","NA","NA","3","10","NA","Mon May 13 13:15:06 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","471","656","6","even","NA","NA","11349","NA","NA","33885","73920","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pier-puur6_stereo.wav","pier","puur","12460","NA","undefined","NA","undefined","NA","NA","NA","3","11","0","NA","NA","3","11","NA","Mon May 13 13:15:06 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","471","442","6","even","NA","NA","11349","NA","NA","33885","76308","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kik-kek_continuumStep_7_stereo.wav","kek","kik","12460","NA","undefined","NA","undefined","NA","NA","NA","3","12","0","NA","NA","3","12","NA","Mon May 13 13:15:06 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","471","435","6","even","NA","NA","11349","NA","NA","33885","78503","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","dak-tak_F0_7_VOT_7_stereo.wav","dak","tak","12460","NA","undefined","NA","undefined","NA","NA","NA","3","13","0","NA","NA","3","13","NA","Mon May 13 13:15:06 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","471","489","6","even","NA","NA","11349","NA","NA","33885","80765","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kik-kek_continuumStep_1_stereo.wav","kek","kik","12460","NA","undefined","NA","undefined","NA","NA","NA","3","14","0","NA","NA","3","14","NA","Mon May 13 13:15:06 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","471","537","6","even","NA","NA","11349","NA","NA","33885","83008","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","doos-toos_F0_4_VOT_4_stereo.wav","doos","toos","12460","NA","undefined","NA","undefined","NA","NA","NA","3","15","0","NA","NA","3","15","NA","Mon May 13 13:15:06 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","471","488","6","even","NA","NA","11349","NA","NA","33885","85550","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pip-pep_continuumStep_2_stereo.wav","pip","pep","12460","NA","undefined","NA","undefined","NA","NA","NA","3","16","0","NA","NA","3","16","NA","Mon May 13 13:15:06 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","471","633","6","even","NA","NA","11349","NA","NA","33885","87903","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","dier-duur_Step5stereo.wav","dier","duur","12460","NA","undefined","NA","undefined","NA","NA","NA","3","17","0","NA","NA","3","17","NA","Mon May 13 13:15:06 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","471","656","6","even","NA","NA","11349","NA","NA","33885","90301","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pop-top_step3.wav","pop","top","12460","NA","undefined","NA","undefined","NA","NA","NA","3","18","0","NA","NA","3","18","NA","Mon May 13 13:15:06 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","471","1322","6","even","NA","NA","11349","NA","NA","33885","92810","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","sik-sec5.wav","sik","sec","12460","NA","undefined","NA","undefined","NA","NA","NA","3","19","0","NA","NA","3","19","NA","Mon May 13 13:15:06 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","471","616","6","even","NA","NA","11349","NA","NA","33885","96100","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","pip-pep_continuumStep_4_stereo.wav","pip","pep","12460","NA","undefined","NA","undefined","NA","NA","NA","3","20","0","NA","NA","3","20","NA","Mon May 13 13:15:06 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","471","397","6","even","NA","NA","11349","NA","NA","33885","98581","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","bier-buur_Step4stereo.wav","bier","buur","12460","NA","undefined","NA","undefined","NA","NA","NA","3","21","0","NA","NA","3","21","NA","Mon May 13 13:15:06 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","471","496","6","even","NA","NA","11349","NA","NA","33885","100719","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","bier-buur_Step3stereo.wav","bier","buur","12460","NA","undefined","NA","undefined","NA","NA","NA","3","22","0","NA","NA","3","22","NA","Mon May 13 13:15:06 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","471","561","6","even","NA","NA","11349","NA","NA","33885","102957","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kauw-tauw_step1.wav","kauw","touw","12460","NA","undefined","NA","undefined","NA","NA","NA","3","23","0","NA","NA","3","23","NA","Mon May 13 13:15:06 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","471","633","6","even","NA","NA","11349","NA","NA","33885","105389","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kauw-tauw_step6.wav","kauw","touw","12460","NA","undefined","NA","undefined","NA","NA","NA","3","24","0","NA","NA","3","24","NA","Mon May 13 13:15:06 2024","NA","NA","3","E","NA","NA","NA","A","E","NA","NA","NA","471","505","6","even","NA","NA","11349","NA","NA","33885","107894","34356","NB-BB","0"
"NA","NA","NA","NA","NA","NA","tuin-duin_F0_4_VOT_4_stereo.wav","tuin","duin","kauw-tauw_step3.wav","kauw","touw","12460","NA","undefined","NA","undefined","NA","NA","NA","3","25","0","NA","NA","3","25","NA","Mon May 13 13:15:06 2024","NA","NA","3","A","NA","NA","NA","A","A","NA","NA","NA","471","554","6","even","NA","NA","11349","NA","NA","33885","110273","34356","NB-BB","0"
